date,peak_diff,eej_category
2016-01-01,,disturbance
2016-01-02,,disturbance
2016-01-03,,missing
2016-01-04,,missing
2016-01-05,,missing
2016-01-06,,disturbance
2016-01-07,,disturbance
2016-01-08,,missing
2016-01-09,,missing
2016-01-10,,missing
2016-01-11,,disturbance
2016-01-12,,disturbance
2016-01-13,,disturbance
2016-01-14,,missing
2016-01-15,,missing
2016-01-16,,missing
2016-01-17,,missing
2016-01-18,,missing
2016-01-19,,disturbance
2016-01-20,43.27210001966285,disturbance
2016-01-21,,disturbance
2016-01-22,70.32987148573616,disturbance
2016-01-23,38.83635008611529,normal
2016-01-24,,disturbance
2016-01-25,,missing
2016-01-26,,missing
2016-01-27,,missing
2016-01-28,,missing
2016-01-29,,missing
2016-01-30,,missing
2016-01-31,,disturbance
2016-02-01,13.11550657131474,disturbance
2016-02-02,,disturbance
2016-02-03,52.74546958992892,disturbance
2016-02-04,,missing
2016-02-05,,missing
2016-02-06,,missing
2016-02-07,,disturbance
2016-02-08,,disturbance
2016-02-09,,disturbance
2016-02-10,91.89217772663373,normal
2016-02-11,,disturbance
2016-02-12,,disturbance
2016-02-13,51.35255650359608,disturbance
2016-02-14,,missing
2016-02-15,,disturbance
2016-02-16,,disturbance
2016-02-17,,disturbance
2016-02-18,,disturbance
2016-02-19,,missing
2016-02-20,,missing
2016-02-21,,missing
2016-02-22,,missing
2016-02-23,,missing
2016-02-24,46.590580973977815,normal
2016-02-25,30.167699412456443,normal
2016-02-26,,missing
2016-02-27,53.23817746514551,normal
2016-02-28,,missing
2016-02-29,,missing
2016-03-01,,disturbance
2016-03-02,,missing
2016-03-03,,missing
2016-03-04,,missing
2016-03-05,42.54671647306485,normal
2016-03-06,,disturbance
2016-03-07,82.20801947045618,disturbance
2016-03-08,,disturbance
2016-03-09,,missing
2016-03-10,,missing
2016-03-11,,disturbance
2016-03-12,,missing
2016-03-13,,missing
2016-03-14,,disturbance
2016-03-15,,disturbance
2016-03-16,,disturbance
2016-03-17,,disturbance
2016-03-18,,disturbance
2016-03-19,,disturbance
2016-03-20,,disturbance
2016-03-21,,disturbance
2016-03-22,,missing
2016-03-23,,missing
2016-03-24,,missing
2016-03-25,,missing
2016-03-26,,missing
2016-03-27,,missing
2016-03-28,,missing
2016-03-29,,missing
2016-03-30,,disturbance
2016-03-31,,missing
2016-04-01,,missing
2016-04-02,,disturbance
2016-04-03,,disturbance
2016-04-04,,missing
2016-04-05,,missing
2016-04-06,,disturbance
2016-04-07,,disturbance
2016-04-08,,disturbance
2016-04-09,,missing
2016-04-10,,missing
2016-04-11,,missing
2016-04-12,,disturbance
2016-04-13,,disturbance
2016-04-14,,disturbance
2016-04-15,,disturbance
2016-04-16,,disturbance
2016-04-17,,disturbance
2016-04-18,,missing
2016-04-19,,missing
2016-04-20,,missing
2016-04-21,,missing
2016-04-22,,disturbance
2016-04-23,,disturbance
2016-04-24,,disturbance
2016-04-25,,missing
2016-04-26,,missing
2016-04-27,,missing
2016-04-28,,missing
2016-04-29,,missing
2016-04-30,,missing
2016-05-01,,disturbance
2016-05-02,,disturbance
2016-05-03,,disturbance
2016-05-04,,missing
2016-05-05,,disturbance
2016-05-06,,disturbance
2016-05-07,,disturbance
2016-05-08,,disturbance
2016-05-09,,disturbance
2016-05-10,,missing
2016-05-11,64.65977054071294,normal
2016-05-12,60.573970893936036,normal
2016-05-13,,missing
2016-05-14,,disturbance
2016-05-15,43.677531398632574,disturbance
2016-05-16,43.167709475172174,disturbance
2016-05-17,32.8310425356567,normal
2016-05-18,55.33207181430837,normal
2016-05-19,27.3204615898699,disturbance
2016-05-20,85.77358901148685,normal
2016-05-21,30.547376765077786,disturbance
2016-05-22,38.83346410290947,normal
2016-05-23,38.12546710192564,normal
2016-05-24,29.97208677820303,normal
2016-05-25,62.10872287206049,normal
2016-05-26,63.66004782784101,normal
2016-05-27,74.31274721778391,normal
2016-05-28,40.02447024833401,disturbance
2016-05-29,29.547577656652543,normal
2016-05-30,3.545718452734839,disturbance
2016-05-31,34.524392750412176,normal
2016-06-01,51.004113661015104,normal
2016-06-02,52.21481994279857,normal
2016-06-03,26.841339752402902,normal
2016-06-04,37.082265039497955,normal
2016-06-05,36.02500712197782,disturbance
2016-06-06,,disturbance
2016-06-07,,missing
2016-06-08,,missing
2016-06-09,,missing
2016-06-10,,missing
2016-06-11,,missing
2016-06-12,,missing
2016-06-13,31.160907601719288,normal
2016-06-14,40.52986747094147,disturbance
2016-06-15,32.83305813082143,disturbance
2016-06-16,,missing
2016-06-17,,missing
2016-06-18,,missing
2016-06-19,,missing
2016-06-20,,missing
2016-06-21,,missing
2016-06-22,,disturbance
2016-06-23,58.80469996346118,normal
2016-06-24,28.290342110907275,disturbance
2016-06-25,17.953432464297215,normal
2016-06-26,34.04841061840443,disturbance
2016-06-27,34.702970735638395,disturbance
2016-06-28,33.95742330437211,normal
2016-06-29,60.41602039418157,normal
2016-06-30,31.491508396192515,normal
2016-07-01,21.928606202965646,normal
2016-07-02,4.63032286033782,peculiar
2016-07-03,11.669666470812274,normal
2016-07-04,26.844603448189844,normal
2016-07-05,29.73031291249964,normal
2016-07-06,34.87476138261799,normal
2016-07-07,53.07893311224237,disturbance
2016-07-08,33.49381403974064,disturbance
2016-07-09,29.687572485108745,disturbance
2016-07-10,48.96534392379175,normal
2016-07-11,50.621929614731975,normal
2016-07-12,26.022581101522242,disturbance
2016-07-13,19.053029281834796,normal
2016-07-14,,disturbance
2016-07-15,,missing
2016-07-16,,missing
2016-07-17,,missing
2016-07-18,30.479855839667906,normal
2016-07-19,,disturbance
2016-07-20,34.66287229604893,disturbance
2016-07-21,6.350845587411314,peculiar
2016-07-22,32.790359584298976,disturbance
2016-07-23,50.40196733749022,normal
2016-07-24,11.502521252003461,disturbance
2016-07-25,31.01948666575541,disturbance
2016-07-26,2.172033375534369,peculiar
2016-07-27,24.689006109841493,normal
2016-07-28,39.60795890696222,disturbance
2016-07-29,24.786875675426693,normal
2016-07-30,36.71530381105806,normal
2016-07-31,-0.4458954632982852,peculiar
2016-08-01,33.031441222239906,normal
2016-08-02,28.51784217822521,disturbance
2016-08-03,44.92018061070298,disturbance
2016-08-04,,disturbance
2016-08-05,20.311848316341248,disturbance
2016-08-06,14.028454690065686,normal
2016-08-07,,disturbance
2016-08-08,41.75345246206626,normal
2016-08-09,20.220112998343296,normal
2016-08-10,,missing
2016-08-11,42.24623297508164,normal
2016-08-12,30.158951328327632,normal
2016-08-13,,missing
2016-08-14,18.515073284170334,normal
2016-08-15,22.752929405268183,normal
2016-08-16,,missing
2016-08-17,31.07651011088609,normal
2016-08-18,6.034798460399635,peculiar
2016-08-19,45.01093666065756,normal
2016-08-20,32.569819206271056,normal
2016-08-21,29.639390276863566,normal
2016-08-22,63.89152979806761,normal
2016-08-23,46.8496242299638,disturbance
2016-08-24,28.499736676447363,disturbance
2016-08-25,33.716084592041526,normal
2016-08-26,16.250586285857622,normal
2016-08-27,36.70254557864884,normal
2016-08-28,43.059693282736326,normal
2016-08-29,45.22907662993321,normal
2016-08-30,56.48681747344075,disturbance
2016-08-31,18.02086304326093,normal
2016-09-01,,disturbance
2016-09-02,48.451792609554595,disturbance
2016-09-03,76.75390415985436,disturbance
2016-09-04,34.96721920054253,disturbance
2016-09-05,78.8626362929796,disturbance
2016-09-06,28.929908032485045,normal
2016-09-07,52.94711598605332,normal
2016-09-08,48.094188631830114,normal
2016-09-09,,missing
2016-09-10,,missing
2016-09-11,-1.444271977936907,peculiar
2016-09-12,48.99716318146336,normal
2016-09-13,51.3402135896626,normal
2016-09-14,28.697660904444724,normal
2016-09-15,42.061452424156094,normal
2016-09-16,65.98026603313133,normal
2016-09-17,,missing
2016-09-18,43.02042686721549,normal
2016-09-19,62.17757018244649,normal
2016-09-20,,disturbance
2016-09-21,,disturbance
2016-09-22,,missing
2016-09-23,,missing
2016-09-24,45.331802750609924,normal
2016-09-25,56.32925798474348,disturbance
2016-09-26,,disturbance
2016-09-27,40.107254075625335,disturbance
2016-09-28,,disturbance
2016-09-29,,disturbance
2016-09-30,,disturbance
2016-10-01,80.20366365634139,disturbance
2016-10-02,63.689046677376176,disturbance
2016-10-03,71.61871879296413,normal
2016-10-04,81.2269816516176,disturbance
2016-10-05,93.03023929458358,disturbance
2016-10-06,72.42524108558405,normal
2016-10-07,32.896809146864484,normal
2016-10-08,62.72268432811967,normal
2016-10-09,50.5315396787059,normal
2016-10-10,80.34028799631766,normal
2016-10-11,54.200321658887376,normal
2016-10-12,62.50137533563691,normal
2016-10-13,73.78057983604593,disturbance
2016-10-14,-3.016985759472682,disturbance
2016-10-15,60.05378944375804,normal
2016-10-16,,disturbance
2016-10-17,,disturbance
2016-10-18,,missing
2016-10-19,41.878331253506225,normal
2016-10-20,48.75864507468789,normal
2016-10-21,50.98811808844709,normal
2016-10-22,48.67907297782278,normal
2016-10-23,56.032403809063744,normal
2016-10-24,35.458958870246406,disturbance
2016-10-25,34.14686882632902,disturbance
2016-10-26,15.21230689943311,disturbance
2016-10-27,39.085517065541666,disturbance
2016-10-28,55.85541424032827,disturbance
2016-10-29,72.63210699262882,disturbance
2016-10-30,41.790527634048004,disturbance
2016-10-31,54.42991192939023,normal
2016-11-01,,disturbance
2016-11-02,64.44016680522755,disturbance
2016-11-03,47.415262164170215,disturbance
2016-11-04,,missing
2016-11-05,,missing
2016-11-06,,missing
2016-11-07,,missing
2016-11-08,62.7539805624195,normal
2016-11-09,61.9148577036576,disturbance
2016-11-10,50.290628444869704,disturbance
2016-11-11,32.666428506180644,disturbance
2016-11-12,41.077837933976156,disturbance
2016-11-13,32.73481027283369,disturbance
2016-11-14,54.881961340248395,normal
2016-11-15,62.06521115115934,normal
2016-11-16,39.22721370581289,normal
2016-11-17,41.28074860356529,normal
2016-11-18,39.43866223710612,normal
2016-11-19,40.92469416137164,normal
2016-11-20,33.59765148911267,normal
2016-11-21,,missing
2016-11-22,,disturbance
2016-11-23,24.1401156287875,disturbance
2016-11-24,31.884466618051427,disturbance
2016-11-25,,disturbance
2016-11-26,35.68504794948969,normal
2016-11-27,,missing
2016-11-28,,missing
2016-11-29,,missing
2016-11-30,,missing
2016-12-01,35.213519487561086,normal
2016-12-02,49.56504857592948,normal
2016-12-03,75.53287704763488,normal
2016-12-04,40.457535265402036,normal
2016-12-05,44.2731026702772,normal
2016-12-06,,disturbance
2016-12-07,,missing
2016-12-08,21.070413001170486,disturbance
2016-12-09,,disturbance
2016-12-10,47.400286272542616,disturbance
2016-12-11,,disturbance
2016-12-12,,missing
2016-12-13,,missing
2016-12-14,,missing
2016-12-15,,missing
2016-12-16,,missing
2016-12-17,,missing
2016-12-18,41.76629806232349,normal
2016-12-19,44.3315048816513,normal
2016-12-20,,missing
2016-12-21,35.27699659228847,disturbance
2016-12-22,24.564538046844035,disturbance
2016-12-23,,disturbance
2016-12-24,,missing
2016-12-25,37.291594703419484,disturbance
2016-12-26,41.40518460630947,disturbance
2016-12-27,,missing
2016-12-28,,missing
2016-12-29,,missing
2016-12-30,,missing
2016-12-31,58.19126287481723,disturbance
